Variable,Variable_name,Unit,Instrument,Instrument_ID,Height(m),Depth(m),Direction(deg),Repetition,Station,Tree,Compartment
Ground heat flux,G,W_m-2,Rimco-HP3/CN3,,,0.05,,2,Tower,,soil
Ground heat flux,G,W_m-2,Rimco-HP3/CN3,,,0.05,,3,Tower,,soil
Ground heat flux,G,W_m-2,Rimco-HP3/CN3,,,0.05,,4,Tower,,soil
Ground heat flux,G,W_m-2,Rimco-HP3/CN3,,,0.05,,5,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.02,,1,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.05,,1,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.15,,1,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.3,,1,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.5,,1,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.02,,2,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.05,,2,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.15,,2,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.3,,2,Tower,,soil
Soil temperature,TS,degC,PT100,,,0.5,,2,Tower,,soil
Soil water content,SWC,Perc,Delta_T-SM_ML-2x,,,0.08,,1,Tower,,soil
Soil water content,SWC,Perc,Delta_T-SM_ML-2x,,,0.16,,1,Tower,,soil
Soil water content,SWC,Perc,Delta_T-SM_ML-2x,,,0.32,,1,Tower,,soil
Soil water content,SWC,Perc,Delta_T-SM_ML-2x,,,0.08,,2,Tower,,soil
Soil water content,SWC,Perc,Delta_T-SM_ML-2x,,,0.08,,3,Tower,,soil
Soil water content,SWC,Perc,Delta_T-SM_ML-2x,,,0.08,,4,Tower,,soil
Stem temperature,T_STEM,degC,PT100,,1.5,0.03,270,,Tower,beech,
Stem temperature,T_STEM,degC,PT100,,1.5,0.03,180,,Tower,beech,
Stem temperature,T_STEM,degC,PT100,,1.5,0.03,90,,Tower,beech,
Stem temperature,T_STEM,degC,PT100,,1.5,0.03,0,,Tower,beech,
Stem temperature,T_STEM,degC,PT100,,1.5,0.155,0,,Tower,beech,
Stem temperature,T_STEM,degC,PT100,,1.5,0.39,0,,Tower,beech,
Stem temperature,T_STEM,degC,PT100,,1.5,0.03,0,,Tower,ash,
Stem temperature,T_STEM,degC,PT100,,1.5,0.15,0,,Tower,ash,
Stem temperature,T_STEM,degC,PT100,,1.5,0.285,0,,Tower,ash,
Stem temperature,T_STEM,degC,PT100,,1.5,0.03,0,,Tower,maple,
Stem temperature,T_STEM,degC,PT100,,1.5,0.15,0,,Tower,maple,
Stem temperature,T_STEM,degC,PT100,,1.5,0.27,0,,Tower,maple,
